|Mortal Fea!|	|Greg Iles|
|Expanding Universe|	|Arthur Stanley Eddington|
|The Black Economy in India|	|Arun Kumar|
|A Secular Agenda|	|Arun Shourie|
|Courts and Their Judgements|	|Arun Shourie|
|Mrs. Gandhi's Second Reign|	|Arun Shourie|
|Governance and the Sclerosis that has set in|	|Arun Shourie|
|Algebra of Infinite Justice|	|Arundhati Roy|
|An American in Khadi|	|Asha Sharma|
|One Day Cricket–The Indian Challenge|	|Ashis Roy|
|Growing Old In India–Voices Reveal, Statistics Speak|	|Ashish Bose & Mala Kapur Shanker Dass|
|Stability in South Asia|	|Ashley J. Tellis|
|A Billion is Enough|	|Ashok Gupta|
|Economic Planning of India|	|Ashok Mehta|
|Buddha Charitam|	|Ashvaghosha|
|Laws, Ideas and Ideology in Politics–Perspective of an Activist|	|Ashwani Kumar|
|New Dimensions of India's Foreign Policy|	|Atal Bihari Vajpayee|
|Freedom from Fear|	|Atmg San Suu Kyi|
|Essays on Gita|	|Aurobindo Ghosh|
|Life Divine|	|Aurobindo Ghosh|
|Savitri|	|Aurobindo Ghosh|
|Things|	|Avtar Singh.|
|India's Neighbours–Problems And Prospects|	|Ayanjit Sen|
|M.A. Jinnah|	|Ayesha Jalal|
|Friends, Not Masters|	|Ayub Khan|
|A Cabinet Secretary Looks Back|	|B. G. Deshmukh .|
|Godrej–A Hundred Years|	|B. K. Karanjia|
|Bofors The Ambassador's Evidence|	|B. M. Oza|
|Chinese Betrayal|	|B. N. Mullick|
|PMO Diary-I, Prelude Emergency|	|B. N. Tandon|
|India's Culture, the State, the Arts & Beyond|	|B. P. Singh|
|Jawaharlal Nehru, Rebel and Statesman|	|B. R. N anda|
|Nice Guys Finish Second|	|B.K Nehru|
|Gita Rahasya|	|Bal Gangadhar Tilak|
|Harsha Charita|	|Bana Bhatt|
|Kadambari|	|Bana Bhatt|
|Anandmath|	|Bankim Chandra Chatterjee|
|Durgesh Nandini|	|Bankim Chandra Chatterjee|
|Kapal Kundala|	|Bankim Chandra Chatterjee|
|Mrinalini|	|Bankim Chandra Chatterjee|
|Radharani|	|Bankim Chandra Chatterjee|
|Bishbriksha|	|Bankim Chandra Chatterji|
|Dreams From My Father|	|Barack Obama |
|India–Facing the Twenty–First Century|	|Barbara Crossette|
|A. Sudden Change of Hearts|	|Barbara Taylor|
